,Fighter,KD,Sig. str. %,Td %,Sub. att,Pass,Rev.,Sig. str. Hits,Sig. str. Attempts,Total str. Hits,Total str. Attempts,Td Hits,Td Attempts,Head Hits,Head Attempts,Body Hits,Body Attempts,Leg Hits,Leg Attempts,Distance Hits,Distance Attempts,Clinch Hits,Clinch Attempts,Ground Hits,Ground Attempts,Fighter.1,KD.1,Sig. str. %.1,Td %.1,Sub. att.1,Pass.1,Rev..1,Sig. str. Hits.1,Sig. str. Attempts.1,Total str. Hits.1,Total str. Attempts.1,Td Hits.1,Td Attempts.1,Head Hits.1,Head Attempts.1,Body Hits.1,Body Attempts.1,Leg Hits.1,Leg Attempts.1,Distance Hits.1,Distance Attempts.1,Clinch Hits.1,Clinch Attempts.1,Ground Hits.1,Ground Attempts.1,rounds,time,format,referee,url
983,Jimi Manuwa,0,33%,0%,0,0,0,37,110,37,110,0,2,16,79,17,23,4,8,32,104,5,6,0,0,Jan Blachowicz,1,50%,16%,0,0,0,97,191,124,219,1,6,81,171,11,15,5,5,88,178,8,12,1,1,3,00:05:00,3 Rnd (5-5-5),Leon Roberts,http://ufcstats.com/fight-details/5f19b0135414b454
984,Tom Duquesnoy,0,43%,0%,0,0,0,67,153,70,156,0,3,28,104,8,18,31,31,66,150,1,3,0,0,Terrion Ware,0,31%,33%,0,1,0,85,267,108,295,2,6,60,234,15,21,10,12,71,248,6,10,8,9,3,00:05:00,3 Rnd (5-5-5),Grant Waterman,http://ufcstats.com/fight-details/848e7af760788418
985,Leon Edwards,1,48%,50%,0,4,1,42,86,71,117,1,2,37,78,5,6,0,2,16,50,1,1,25,35,Peter Sobotta,0,37%,25%,0,1,0,16,43,57,90,1,4,8,34,3,4,5,5,15,42,1,1,0,0,3,00:04:59,3 Rnd (5-5-5),Rich Mitchell,http://ufcstats.com/fight-details/e84fa12d87993ec5
986,John Phillips,0,0%,0%,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Charles Byrd,0,78%,100%,1,3,0,11,14,34,41,1,1,11,14,0,0,0,0,0,1,0,0,11,13,1,00:03:58,3 Rnd (5-5-5),Marc Goddard,http://ufcstats.com/fight-details/f8ee14dbf966b9e6
987,Danny Roberts,1,40%,0%,0,0,0,4,10,4,10,0,0,2,8,1,1,1,1,3,8,0,1,1,1,Oliver Enkamp,0,58%,0%,0,0,0,7,12,8,14,0,1,1,4,1,1,5,7,5,10,2,2,0,0,1,00:02:12,3 Rnd (5-5-5),Leon Roberts,http://ufcstats.com/fight-details/288c942b0ad152a6
988,Danny Henry,1,40%,0%,1,0,0,2,5,2,5,0,0,2,4,0,1,0,0,2,4,0,0,0,1,Hakeem Dawodu,0,100%,0%,0,0,0,3,3,3,3,0,0,1,1,0,0,2,2,3,3,0,0,0,0,1,00:00:39,3 Rnd (5-5-5),Rich Mitchell,http://ufcstats.com/fight-details/0b4583d204797d19
989,Paul Craig,0,36%,28%,1,1,0,18,50,34,70,2,7,2,30,10,14,6,6,12,41,6,7,0,2,Magomed Ankalaev,0,61%,0%,0,3,2,59,96,89,129,0,0,36,70,19,21,4,5,20,44,8,11,31,41,3,00:04:59,3 Rnd (5-5-5),Marc Goddard,http://ufcstats.com/fight-details/714d6fc1eaca9624
990,Stevie Ray,0,38%,75%,1,1,0,24,62,37,78,3,4,18,52,1,3,5,7,16,51,1,2,7,9,Kajan Johnson,0,61%,50%,0,2,0,33,54,37,58,2,4,7,22,13,16,13,16,24,42,0,1,9,11,3,00:05:00,3 Rnd (5-5-5),Leon Roberts,http://ufcstats.com/fight-details/fe9ee00fa47dd7b3
991,Mark Godbeer,0,64%,0%,0,1,1,24,37,73,91,0,1,11,24,12,12,1,1,7,17,3,4,14,16,Dmitry Sosnovskiy,0,70%,66%,2,5,1,28,40,53,71,2,3,22,32,5,7,1,1,10,18,5,8,13,14,2,00:04:29,3 Rnd (5-5-5),Grant Waterman,http://ufcstats.com/fight-details/2fd0c6d914b77205
992,Cris Cyborg,0,76%,100%,0,0,0,33,43,42,54,1,1,22,31,11,12,0,0,10,13,8,8,15,22,Yana Kunitskaya,0,45%,25%,0,1,0,5,11,17,24,1,4,2,4,1,5,2,2,3,9,1,1,1,1,1,00:03:25,5 Rnd (5-5-5-5-5),Herb Dean,http://ufcstats.com/fight-details/4960379abe6ed525
993,Frankie Edgar,0,35%,0%,0,0,0,27,77,27,77,0,1,12,59,10,13,5,5,27,76,0,1,0,0,Brian Ortega,1,32%,0%,0,0,0,25,76,25,77,0,0,21,71,3,4,1,1,17,66,6,8,2,2,1,00:04:44,3 Rnd (5-5-5),Jason Herzog,http://ufcstats.com/fight-details/2361b51aa72e5551
994,Sean O'Malley,0,56%,0%,3,1,1,63,111,73,121,0,0,41,83,15,21,7,7,53,100,1,2,9,9,Andre Soukhamthath,0,41%,57%,0,4,0,25,60,42,79,4,7,7,37,9,12,9,11,16,50,1,1,8,9,3,00:05:00,3 Rnd (5-5-5),Mark Smith,http://ufcstats.com/fight-details/efe055854f19a1d7
995,Stefan Struve,0,45%,0%,0,0,1,34,74,37,78,0,3,9,40,8,16,17,18,32,69,0,0,2,5,Andrei Arlovski,0,52%,44%,0,2,1,46,88,76,121,4,9,12,42,16,26,18,20,42,82,2,3,2,3,3,00:05:00,3 Rnd (5-5-5),Herb Dean,http://ufcstats.com/fight-details/bfb7d17161aec938
996,Cat Zingano,0,55%,0%,0,0,0,59,106,77,128,0,2,33,70,17,25,9,11,31,69,19,24,9,13,Ketlen Vieira,0,57%,100%,1,7,0,41,71,96,139,2,2,32,60,6,8,3,3,17,43,9,13,15,15,3,00:05:00,3 Rnd (5-5-5),Jason Herzog,http://ufcstats.com/fight-details/1f52e665587dc645
997,Ashley Yoder,1,36%,0%,0,0,0,52,142,73,165,0,0,27,109,17,23,8,10,37,125,15,17,0,0,Mackenzie Dern,0,48%,16%,1,1,0,70,143,76,149,1,6,39,111,14,15,17,17,43,113,19,21,8,9,3,00:05:00,3 Rnd (5-5-5),Chris Tognoni,http://ufcstats.com/fight-details/ead2ca0d2afb46be
