,Winner,R_fighter,B_fighter,R_STR,B_STR,R_TD,B_TD,R_SUB,B_SUB,R_PASS,B_PASS,WEIGHT_CLASS,METHOD,DETAIL,ROUND,TIME,title_bout,link,date,location,attendance
1480,win,Darren Elkins,Mirsad Bektic,28,60,0,4,1,0,0,8,Featherweight,KO/TKO,Kick,3,00:03:19,0.0,http://ufcstats.com/fight-details/3b536afcc9098925,04-03-2017,"Las Vegas, Nevada, USA",
1481,win,Iuri Alcantara,Luke Sanders,23,94,1,1,1,0,0,0,Bantamweight,SUB,Kneebar,2,00:03:13,0.0,http://ufcstats.com/fight-details/4804776154430aad,04-03-2017,"Las Vegas, Nevada, USA",
1482,win,Mark Godbeer,Daniel Spitz,92,51,0,1,0,0,0,0,Heavyweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/08b65f5009c34997,04-03-2017,"Las Vegas, Nevada, USA",
1483,win,Tyson Pedro,Paul Craig,23,12,0,0,0,0,1,0,Light Heavyweight,KO/TKO,Elbows,1,00:04:10,0.0,http://ufcstats.com/fight-details/6db4d7827082d5b9,04-03-2017,"Las Vegas, Nevada, USA",
1484,win,Albert Morales,Andre Soukhamthath,56,46,1,0,0,0,1,2,Bantamweight,S-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/2d4743a82fc55642,04-03-2017,"Las Vegas, Nevada, USA",
1485,win,Derrick Lewis,Travis Browne,39,21,0,0,0,0,1,0,Heavyweight,KO/TKO,Punch,2,00:03:12,0.0,http://ufcstats.com/fight-details/ab14dbff9d2ae41a,19-02-2017,"Halifax, Nova Scotia, Canada",8123.0
1486,win,Johny Hendricks,Hector Lombard,51,37,0,2,0,0,0,0,Middleweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/a5d24caed8afbeef,19-02-2017,"Halifax, Nova Scotia, Canada",8123.0
1487,win,Gavin Tucker,Sam Sicilia,55,10,1,0,0,0,0,0,Featherweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/112e6a0ddce893e6,19-02-2017,"Halifax, Nova Scotia, Canada",8123.0
1488,win,Elias Theodorou,Cezar Ferreira,38,11,1,3,0,2,0,2,Middleweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/16e28dd989ee1dea,19-02-2017,"Halifax, Nova Scotia, Canada",8123.0
1489,win,Sara McMann,Gina Mazany,7,0,2,0,1,0,2,0,Women's Bantamweight,SUB,Arm Triangle,1,00:01:14,0.0,http://ufcstats.com/fight-details/9c256e94c6b584b6,19-02-2017,"Halifax, Nova Scotia, Canada",8123.0
1490,win,Paul Felder,Alessandro Ricci,23,21,0,0,0,0,0,0,Lightweight,KO/TKO,Elbow,1,00:04:44,0.0,http://ufcstats.com/fight-details/f00ac5af033f44b4,19-02-2017,"Halifax, Nova Scotia, Canada",8123.0
1491,win,Santiago Ponzinibbio,Nordine Taleb,53,48,0,0,0,0,2,0,Welterweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/1db121859d2fcda8,19-02-2017,"Halifax, Nova Scotia, Canada",8123.0
1492,win,Randa Markos,Carla Esparza,48,32,0,4,0,1,0,4,Women's Strawweight,S-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/e4c4c54a10e06973,19-02-2017,"Halifax, Nova Scotia, Canada",8123.0
1493,win,Aiemann Zahabi,Reginaldo Vieira,44,64,0,2,0,0,1,0,Bantamweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/ad9ecef413a5b48f,19-02-2017,"Halifax, Nova Scotia, Canada",8123.0
1494,win,Thiago Santos,Jack Marshman,27,6,1,0,0,0,0,0,Middleweight,KO/TKO,Kick,2,00:02:21,0.0,http://ufcstats.com/fight-details/e59aabdfba9d6c45,19-02-2017,"Halifax, Nova Scotia, Canada",8123.0
1495,win,Gerald Meerschaert,Ryan Janes,3,3,0,1,1,0,0,1,Middleweight,SUB,Armbar,1,00:01:34,0.0,http://ufcstats.com/fight-details/c1d86f1e6d41cd03,19-02-2017,"Halifax, Nova Scotia, Canada",8123.0
1496,win,Germaine de Randamie,Holly Holm,80,77,0,0,0,0,0,0,Women's Featherweight,U-DEC,,5,00:05:00,1.0,http://ufcstats.com/fight-details/252074c8554bf30d,11-02-2017,"Brooklyn, New York, USA",15628.0
1497,win,Anderson Silva,Derek Brunson,43,54,0,2,0,0,0,0,Middleweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/d29750cee389a0b9,11-02-2017,"Brooklyn, New York, USA",15628.0
1498,win,Jacare Souza,Tim Boetsch,7,6,1,0,1,0,2,0,Middleweight,SUB,Kimura,1,00:03:41,0.0,http://ufcstats.com/fight-details/ced241b99eab5f22,11-02-2017,"Brooklyn, New York, USA",15628.0
1499,win,Glover Teixeira,Jared Cannonier,24,21,3,0,1,0,11,0,Light Heavyweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/244357514dd89bd6,11-02-2017,"Brooklyn, New York, USA",15628.0
1500,win,Dustin Poirier,Jim Miller,97,71,3,1,0,3,1,1,Lightweight,M-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/8b8f9485214f9e48,11-02-2017,"Brooklyn, New York, USA",15628.0
1501,win,Belal Muhammad,Randy Brown,71,52,2,0,0,0,2,0,Welterweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/f680e6ebe3bdfe3e,11-02-2017,"Brooklyn, New York, USA",15628.0
1502,win,Wilson Reis,Ulka Sasaki,34,34,6,0,2,0,6,2,Flyweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/febea68b205f6273,11-02-2017,"Brooklyn, New York, USA",15628.0
1503,win,Islam Makhachev,Nik Lentz,43,13,5,0,0,1,12,0,Lightweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/ddd9e64d97b095f9,11-02-2017,"Brooklyn, New York, USA",15628.0
1504,win,Rick Glenn,Phillipe Nover,52,50,0,0,0,0,0,0,Featherweight,S-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/c4174e22cb22622c,11-02-2017,"Brooklyn, New York, USA",15628.0
1505,win,Ryan LaFlare,Roan Carneiro,29,19,1,0,0,0,2,2,Welterweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/1f9ac1648b8e501e,11-02-2017,"Brooklyn, New York, USA",15628.0
1506,win,Chan Sung Jung,Dennis Bermudez,17,20,0,0,0,0,0,0,Featherweight,KO/TKO,Punch,1,00:02:29,0.0,http://ufcstats.com/fight-details/8c220d4c96895a98,04-02-2017,"Houston, Texas, USA",8119.0
1507,win,Felice Herrig,Alexa Grasso,60,80,2,0,0,1,2,0,Women's Strawweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/4a2e7e2c8cfdaf5f,04-02-2017,"Houston, Texas, USA",8119.0
1508,win,James Vick,Abel Trujillo,25,11,1,1,3,0,2,0,Lightweight,SUB,D'Arce Choke,3,00:00:49,0.0,http://ufcstats.com/fight-details/94cecf4bd29793e1,04-02-2017,"Houston, Texas, USA",8119.0
1509,win,Volkan Oezdemir,Ovince Saint Preux,82,76,0,0,0,0,0,0,Light Heavyweight,S-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/36220644401d85e1,04-02-2017,"Houston, Texas, USA",8119.0
1510,win,Marcel Fortuna,Anthony Hamilton,15,14,0,0,0,0,0,0,Heavyweight,KO/TKO,Punch,1,00:03:10,0.0,http://ufcstats.com/fight-details/49e344834626c144,04-02-2017,"Houston, Texas, USA",8119.0
1511,win,Jessica Andrade,Angela Hill,131,89,2,0,0,0,0,0,Women's Strawweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/451525a1abe30a91,04-02-2017,"Houston, Texas, USA",8119.0
1512,nc,Adam Milstead,Curtis Blaydes,1,25,0,8,0,0,0,1,Heavyweight,Overturned,,2,00:00:59,0.0,http://ufcstats.com/fight-details/74256b4e8d0b1de6,04-02-2017,"Houston, Texas, USA",8119.0
1513,win,Chas Skelly,Chris Gruetzemacher,21,28,2,0,1,0,2,0,Featherweight,SUB,Rear Naked Choke,2,00:02:01,0.0,http://ufcstats.com/fight-details/478221ad98336565,04-02-2017,"Houston, Texas, USA",8119.0
1514,win,Ricardo Ramos,Michinori Tanaka,45,28,0,2,1,0,3,1,Bantamweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/66ad9f88f063d2ef,04-02-2017,"Houston, Texas, USA",8119.0
1515,win,Tecia Torres,Bec Rawlings,81,37,1,1,0,0,2,0,Women's Strawweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/ebe38ba75cbf2320,04-02-2017,"Houston, Texas, USA",8119.0
1516,nc,Alex Morono,Niko Price,45,23,0,0,0,0,0,0,Welterweight,Overturned,Punch,2,00:05:00,0.0,http://ufcstats.com/fight-details/48e51d4e7172048e,04-02-2017,"Houston, Texas, USA",8119.0
1517,win,Khalil Rountree Jr.,Daniel Jolly,3,0,0,0,0,0,0,0,Light Heavyweight,KO/TKO,Knees,1,00:00:52,0.0,http://ufcstats.com/fight-details/f3bb58f485dc2008,04-02-2017,"Houston, Texas, USA",8119.0
1518,win,Valentina Shevchenko,Julianna Pena,13,27,2,1,1,0,2,0,Women's Bantamweight,SUB,Armbar,2,00:04:29,0.0,http://ufcstats.com/fight-details/ab79fe7b35ccc3dc,28-01-2017,"Denver, Colorado, USA",13233.0
1519,win,Jorge Masvidal,Donald Cerrone,58,30,0,0,0,0,0,0,Welterweight,KO/TKO,Punches,2,00:01:00,0.0,http://ufcstats.com/fight-details/b91756d955e14d2e,28-01-2017,"Denver, Colorado, USA",13233.0
1520,win,Francis Ngannou,Andrei Arlovski,8,3,0,0,0,0,0,0,Heavyweight,KO/TKO,Punch,1,00:01:32,0.0,http://ufcstats.com/fight-details/a45596cda51a1816,28-01-2017,"Denver, Colorado, USA",13233.0
1521,win,Jason Knight,Alex Caceres,31,27,2,0,4,0,2,0,Featherweight,SUB,Rear Naked Choke,2,00:04:21,0.0,http://ufcstats.com/fight-details/43682a646b9b956f,28-01-2017,"Denver, Colorado, USA",13233.0
1522,win,Sam Alvey,Nate Marquardt,36,28,0,1,0,0,0,1,Middleweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/3c8eb8ad5e98876f,28-01-2017,"Denver, Colorado, USA",13233.0
1523,win,Raphael Assuncao,Aljamain Sterling,39,52,0,0,0,0,0,0,Bantamweight,S-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/637f561cd731fb44,28-01-2017,"Denver, Colorado, USA",13233.0
1524,win,Jingliang Li,Bobby Nash,37,39,0,1,0,2,1,1,Welterweight,KO/TKO,Punch,2,00:04:45,0.0,http://ufcstats.com/fight-details/c5865afc31cb6c59,28-01-2017,"Denver, Colorado, USA",13233.0
1525,win,Jordan Johnson,Henrique da Silva,39,22,4,0,2,0,5,0,Light Heavyweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/1cd0ce0e2312ad52,28-01-2017,"Denver, Colorado, USA",13233.0
1526,win,Eric Spicely,Alessio Di Chirico,1,1,1,0,1,0,0,0,Middleweight,SUB,Triangle Choke,1,00:02:14,0.0,http://ufcstats.com/fight-details/481aef2d2802ec68,28-01-2017,"Denver, Colorado, USA",13233.0
1527,win,Marcos Rogerio de Lima,Jeremy Kimball,12,5,0,0,0,0,0,0,Light Heavyweight,KO/TKO,Punches,1,00:02:27,0.0,http://ufcstats.com/fight-details/99373dc33dfbf6e0,28-01-2017,"Denver, Colorado, USA",13233.0
1528,win,Alexandre Pantoja,Eric Shelton,37,32,1,4,2,0,2,0,Flyweight,S-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/0094d2ed98819f7a,28-01-2017,"Denver, Colorado, USA",13233.0
1529,win,Jason Gonzalez,JC Cottrell,4,1,0,1,1,0,0,3,Lightweight,SUB,D'Arce Choke,1,00:03:54,0.0,http://ufcstats.com/fight-details/6eb382e2c51fc4f5,28-01-2017,"Denver, Colorado, USA",13233.0
1530,win,Yair Rodriguez,BJ Penn,55,4,0,0,0,0,0,0,Featherweight,KO/TKO,Punches,2,00:00:24,0.0,http://ufcstats.com/fight-details/5742025a09190829,15-01-2017,"Phoenix, Arizona, USA",11589.0
1531,win,Joe Lauzon,Marcin Held,20,23,1,5,1,0,0,4,Lightweight,S-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/00720c46f864fe03,15-01-2017,"Phoenix, Arizona, USA",11589.0
1532,win,Ben Saunders,Court McGee,49,54,0,1,0,0,0,2,Welterweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/8edb831924d69dd9,15-01-2017,"Phoenix, Arizona, USA",11589.0
1533,win,Sergio Pettis,John Moraga,48,33,2,1,0,0,0,0,Flyweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/7685701c382cd49a,15-01-2017,"Phoenix, Arizona, USA",11589.0
1534,win,Drakkar Klose,Devin Powell,68,22,2,0,0,0,0,0,Lightweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/bbb67c2ac4453d64,15-01-2017,"Phoenix, Arizona, USA",11589.0
1535,win,Augusto Mendes,Frankie Saenz,42,40,4,0,0,0,1,0,Bantamweight,S-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/b60bbec8ec98941b,15-01-2017,"Phoenix, Arizona, USA",11589.0
1536,win,Aleksei Oleinik,Viktor Pesta,7,7,0,1,1,0,0,3,Heavyweight,SUB,Other - Choke,1,00:02:57,0.0,http://ufcstats.com/fight-details/1a81573425c585fb,15-01-2017,"Phoenix, Arizona, USA",11589.0
1537,win,Anthony Rocco Martin,Alex White,20,11,2,0,0,0,4,0,Lightweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/8156479490877d08,15-01-2017,"Phoenix, Arizona, USA",11589.0
1538,win,Nina Ansaroff,Jocelyn Jones-Lybarger,48,21,1,0,2,0,5,0,Women's Strawweight,SUB,Rear Naked Choke,3,00:03:39,0.0,http://ufcstats.com/fight-details/53c3565ee1d3411a,15-01-2017,"Phoenix, Arizona, USA",11589.0
1539,win,Walt Harris,Chase Sherman,32,20,0,0,0,0,0,0,Heavyweight,KO/TKO,Knee,2,00:02:41,0.0,http://ufcstats.com/fight-details/3f7684492c9df05e,15-01-2017,"Phoenix, Arizona, USA",11589.0
1540,win,Joachim Christensen,Bojan Mihajlovic,41,22,0,0,0,0,0,0,Light Heavyweight,KO/TKO,Punches,3,00:02:05,0.0,http://ufcstats.com/fight-details/ae803440d778a12b,15-01-2017,"Phoenix, Arizona, USA",11589.0
1541,win,Cyril Asker,Dmitrii Smoliakov,19,5,1,0,0,0,2,0,Heavyweight,KO/TKO,Punches,1,00:02:41,0.0,http://ufcstats.com/fight-details/c1356395d6b055d7,15-01-2017,"Phoenix, Arizona, USA",11589.0
1542,win,Amanda Nunes,Ronda Rousey,27,7,0,0,0,0,0,0,Women's Bantamweight,KO/TKO,Punches,1,00:00:48,1.0,http://ufcstats.com/fight-details/0aad210fbaa1db6c,30-12-2016,"Las Vegas, Nevada, USA",18533.0
1543,win,Cody Garbrandt,Dominick Cruz,68,88,1,0,0,0,0,0,Bantamweight,U-DEC,,5,00:05:00,1.0,http://ufcstats.com/fight-details/25e6b11e1cf45b83,30-12-2016,"Las Vegas, Nevada, USA",18533.0
1544,win,TJ Dillashaw,John Lineker,71,38,5,1,1,0,8,0,Bantamweight,U-DEC,,3,00:05:00,0.0,http://ufcstats.com/fight-details/7f663d67422c1b24,30-12-2016,"Las Vegas, Nevada, USA",18533.0
