,Fighter,KD,Sig. str. %,Td %,Sub. att,Pass,Rev.,Sig. str. Hits,Sig. str. Attempts,Total str. Hits,Total str. Attempts,Td Hits,Td Attempts,Head Hits,Head Attempts,Body Hits,Body Attempts,Leg Hits,Leg Attempts,Distance Hits,Distance Attempts,Clinch Hits,Clinch Attempts,Ground Hits,Ground Attempts,Fighter,KD,Sig. str. %,Td %,Sub. att,Pass,Rev.,Sig. str. Hits,Sig. str. Attempts,Total str. Hits,Total str. Attempts,Td Hits,Td Attempts,Head Hits,Head Attempts,Body Hits,Body Attempts,Leg Hits,Leg Attempts,Distance Hits,Distance Attempts,Clinch Hits,Clinch Attempts,Ground Hits,Ground Attempts,rounds,time,format,referee,url
37,Rustam Khabilov,0,68%,66%,0,4,1,50 , 73,79 , 110,6 , 9,39 , 59,2 , 3,9 , 11,20 , 40,2 , 3,28 , 30,Chris Wade,1,43%,0%,0,1,1,25 , 58,42 , 76,0 , 0,11 , 38,7 , 11,7 , 9,22 , 52,3 , 3,0 , 3,3,00:05:00,3 Rnd (5-5-5),Leon Roberts,http://ufcstats.com/fight-details/97e895b7c2cb9db4
38,Magnus Cedenblad,1,47%,0%,0,0,0,21 , 44,21 , 44,0 , 0,16 , 36,5 , 8,0 , 0,16 , 35,5 , 9,0 , 0,Garreth McLellan,0,36%,0%,0,0,0,12 , 33,12 , 33,0 , 0,2 , 17,1 , 4,9 , 12,12 , 33,0 , 0,0 , 0,2,00:00:47,3 Rnd (5-5-5),Lukasz Bosacki,http://ufcstats.com/fight-details/6d47170d069df8bb
39,Jon Tuck,0,29%,0%,0,0,0,53 , 180,54 , 181,0 , 1,29 , 150,12 , 16,12 , 14,52 , 174,1 , 5,0 , 1,Josh Emmett,0,35%,0%,0,0,0,54 , 152,54 , 153,0 , 2,32 , 114,11 , 23,11 , 15,54 , 151,0 , 1,0 , 0,3,00:05:00,3 Rnd (5-5-5),Rich Mitchell,http://ufcstats.com/fight-details/7786b5fafee61c36
40,Yan Cabral,0,37%,10%,0,2,0,32 , 85,61 , 117,1 , 10,19 , 70,11 , 13,2 , 2,14 , 62,17 , 22,1 , 1,Reza Madadi,0,39%,50%,0,0,0,27 , 68,36 , 78,1 , 2,18 , 59,8 , 8,1 , 1,14 , 49,13 , 19,0 , 0,3,00:01:56,3 Rnd (5-5-5),Leon Roberts,http://ufcstats.com/fight-details/711fcf95370fa90b
41,Kyoji Horiguchi,2,49%,75%,0,6,0,72 , 145,83 , 158,6 , 8,44 , 108,18 , 27,10 , 10,50 , 109,12 , 15,10 , 21,Neil Seery,0,39%,0%,1,0,0,40 , 101,51 , 112,0 , 5,36 , 91,2 , 8,2 , 2,34 , 91,3 , 5,3 , 5,3,00:05:00,3 Rnd (5-5-5),Marc Goddard,http://ufcstats.com/fight-details/d37ed975c2b70fd2
42,Leon Edwards,0,68%,66%,1,7,0,24 , 35,55 , 69,2 , 3,17 , 28,7 , 7,0 , 0,8 , 17,1 , 1,15 , 17,Dominic Waters,0,18%,33%,0,3,0,3 , 16,39 , 54,4 , 12,1 , 12,2 , 2,0 , 2,3 , 15,0 , 1,0 , 0,3,00:05:00,3 Rnd (5-5-5),Lukasz Bosacki,http://ufcstats.com/fight-details/6ccf478dca83757e
43,Ulka Sasaki,0,30%,40%,1,5,0,7 , 23,26 , 46,4 , 10,5 , 20,2 , 3,0 , 0,3 , 18,0 , 0,4 , 5,Willie Gates,0,40%,0%,0,0,0,13 , 32,31 , 50,0 , 0,7 , 25,5 , 6,1 , 1,9 , 22,1 , 6,3 , 4,2,00:03:30,3 Rnd (5-5-5),Rich Mitchell,http://ufcstats.com/fight-details/5a9804cad2335272
44,Jon Jones,0,66%,60%,0,4,0,105 , 157,111 , 163,3 , 5,35 , 63,24 , 29,46 , 65,76 , 120,11 , 18,18 , 19,Ovince Saint Preux,0,35%,0%,0,0,0,57 , 160,58 , 161,0 , 0,29 , 113,12 , 23,16 , 24,46 , 143,11 , 17,0 , 0,5,00:05:00,5 Rnd (5-5-5-5-5),Herb Dean,http://ufcstats.com/fight-details/05c8aeb2806be99c
45,Demetrious Johnson,1,63%,0%,0,0,0,21 , 33,35 , 47,0 , 0,10 , 19,9 , 11,2 , 3,6 , 14,15 , 17,0 , 2,Henry Cejudo,0,35%,100%,0,0,0,6 , 17,8 , 19,1 , 1,1 , 7,3 , 5,2 , 5,2 , 9,4 , 8,0 , 0,1,00:02:49,5 Rnd (5-5-5-5-5),John McCarthy,http://ufcstats.com/fight-details/20dda78057d17a5a
46,Anthony Pettis,0,36%,0%,0,0,0,48 , 131,48 , 131,0 , 3,35 , 116,5 , 7,8 , 8,48 , 131,0 , 0,0 , 0,Edson Barboza,0,44%,0%,0,0,0,73 , 164,73 , 164,0 , 0,27 , 101,15 , 26,31 , 37,73 , 163,0 , 1,0 , 0,3,00:05:00,3 Rnd (5-5-5),Herb Dean,http://ufcstats.com/fight-details/8b52a32f3644f493
47,Robert Whittaker,0,50%,0%,0,0,0,89 , 176,92 , 179,0 , 0,51 , 129,10 , 11,28 , 36,83 , 166,2 , 4,4 , 6,Rafael Natal,0,45%,0%,0,0,0,62 , 137,63 , 138,0 , 4,36 , 95,4 , 15,22 , 27,61 , 135,1 , 2,0 , 0,3,00:05:00,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/b65d0243d397802c
48,Yair Rodriguez,1,47%,100%,0,3,0,25 , 53,39 , 68,2 , 2,11 , 37,7 , 9,7 , 7,16 , 37,0 , 0,9 , 16,Andre Fili,0,35%,50%,0,0,0,11 , 31,20 , 40,1 , 2,6 , 24,4 , 5,1 , 2,9 , 27,0 , 0,2 , 4,2,00:02:15,3 Rnd (5-5-5),Dan Miragliotta,http://ufcstats.com/fight-details/43b416cf0c75dbd7
49,Sergio Pettis,0,54%,20%,0,2,1,61 , 112,85 , 140,2 , 10,53 , 103,1 , 2,7 , 7,53 , 100,7 , 11,1 , 1,Chris Kelades,0,31%,14%,0,1,0,35 , 112,69 , 148,1 , 7,22 , 93,7 , 12,6 , 7,21 , 94,12 , 16,2 , 2,3,00:05:00,3 Rnd (5-5-5),Mark Smith,http://ufcstats.com/fight-details/e3a45f48dbda99c3
50,Danny Roberts,0,53%,0%,0,0,0,60 , 112,66 , 119,0 , 0,34 , 78,23 , 30,3 , 4,27 , 68,23 , 33,10 , 11,Dominique Steele,1,45%,42%,0,1,0,34 , 75,56 , 98,6 , 14,20 , 55,11 , 17,3 , 3,12 , 33,19 , 36,3 , 6,3,00:05:00,3 Rnd (5-5-5),Herb Dean,http://ufcstats.com/fight-details/be0af5916c8e8e99
51,Carla Esparza,0,66%,71%,0,4,0,28 , 42,130 , 167,5 , 7,15 , 27,13 , 15,0 , 0,5 , 13,1 , 2,22 , 27,Juliana Lima,0,60%,0%,0,1,2,26 , 43,56 , 76,0 , 3,18 , 34,7 , 8,1 , 1,7 , 17,5 , 6,14 , 20,3,00:05:00,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/2c0ece9f70a62408
52,Glaico Franca,0,34%,40%,0,3,0,39 , 114,67 , 145,4 , 10,20 , 89,7 , 10,12 , 15,38 , 112,0 , 0,1 , 2,James Vick,0,54%,0%,0,0,0,94 , 172,140 , 218,0 , 0,82 , 157,9 , 12,3 , 3,94 , 171,0 , 1,0 , 0,3,00:05:00,3 Rnd (5-5-5),Dan Miragliotta,http://ufcstats.com/fight-details/f519753cc38362d0
53,Walt Harris,1,53%,0%,0,0,0,31 , 58,40 , 69,0 , 0,25 , 51,4 , 5,2 , 2,13 , 30,4 , 8,14 , 20,Cody East,0,41%,0%,0,0,0,26 , 62,26 , 62,0 , 0,16 , 47,3 , 6,7 , 9,22 , 53,4 , 9,0 , 0,1,00:04:18,3 Rnd (5-5-5),Mark Smith,http://ufcstats.com/fight-details/92049ba4483fc840
54,Marcos Rogerio de Lima,1,70%,0%,1,3,0,29 , 41,84 , 103,0 , 0,24 , 35,1 , 2,4 , 4,7 , 13,0 , 0,22 , 28,Clint Hester,0,0%,0%,0,0,0,0 , 5,1 , 6,0 , 0,0 , 5,0 , 0,0 , 0,0 , 5,0 , 0,0 , 0,1,00:04:35,3 Rnd (5-5-5),Dan Miragliotta,http://ufcstats.com/fight-details/c7e084949531a443
55,Efrain Escudero,0,61%,14%,0,0,0,70 , 114,96 , 141,1 , 7,34 , 69,13 , 18,23 , 27,53 , 96,17 , 18,0 , 0,Kevin Lee,0,40%,25%,1,1,0,64 , 160,99 , 200,1 , 4,44 , 134,17 , 23,3 , 3,44 , 135,12 , 12,8 , 13,3,00:05:00,3 Rnd (5-5-5),Mark Smith,http://ufcstats.com/fight-details/083a0283b7bc503b
56,Glover Teixeira,1,35%,0%,0,0,0,6 , 17,7 , 18,0 , 0,5 , 16,1 , 1,0 , 0,3 , 12,2 , 2,1 , 3,Rashad Evans,0,50%,0%,0,0,0,7 , 14,8 , 15,0 , 0,7 , 14,0 , 0,0 , 0,5 , 11,2 , 3,0 , 0,1,00:01:48,5 Rnd (5-5-5-5-5),Herb Dean,http://ufcstats.com/fight-details/e5a88d0e816fd0f1
57,Rose Namajunas,0,29%,50%,0,0,0,46 , 156,48 , 160,2 , 4,27 , 126,15 , 25,4 , 5,41 , 145,0 , 3,5 , 8,Tecia Torres,0,50%,0%,0,0,0,61 , 121,93 , 155,0 , 1,20 , 74,13 , 18,28 , 29,51 , 108,9 , 12,1 , 1,3,00:05:00,3 Rnd (5-5-5),Dan Miragliotta,http://ufcstats.com/fight-details/28f5f50617f2b686
58,Khabib Nurmagomedov,0,71%,66%,0,7,0,75 , 105,107 , 139,2 , 3,73 , 103,0 , 0,2 , 2,3 , 10,1 , 1,71 , 94,Darrell Horcher,0,22%,0%,0,0,0,6 , 27,18 , 42,0 , 0,4 , 23,1 , 3,1 , 1,5 , 26,0 , 0,1 , 1,2,00:03:38,3 Rnd (5-5-5),James Warring,http://ufcstats.com/fight-details/781b4b6951df64fe
