,Fighter,KD,Sig. str. %,Td %,Sub. att,Pass,Rev.,Sig. str. Hits,Sig. str. Attempts,Total str. Hits,Total str. Attempts,Td Hits,Td Attempts,Head Hits,Head Attempts,Body Hits,Body Attempts,Leg Hits,Leg Attempts,Distance Hits,Distance Attempts,Clinch Hits,Clinch Attempts,Ground Hits,Ground Attempts,Fighter,KD,Sig. str. %,Td %,Sub. att,Pass,Rev.,Sig. str. Hits,Sig. str. Attempts,Total str. Hits,Total str. Attempts,Td Hits,Td Attempts,Head Hits,Head Attempts,Body Hits,Body Attempts,Leg Hits,Leg Attempts,Distance Hits,Distance Attempts,Clinch Hits,Clinch Attempts,Ground Hits,Ground Attempts,rounds,time,format,referee,url
35,Martin Bravo,0,33%,0%,0,0,0,1 , 3,1 , 3,0 , 0,0 , 1,1 , 1,0 , 1,1 , 3,0 , 0,0 , 0,Humberto Bandenay,1,71%,0%,0,0,0,5 , 7,5 , 7,0 , 0,3 , 5,1 , 1,1 , 1,3 , 5,0 , 0,2 , 2,1,00:00:26,3 Rnd (5-5-5),Jerin Valel,http://ufcstats.com/fight-details/2f9b9ef5f6833aa1
36,Sam Alvey,0,45%,0%,0,0,0,40 , 87,51 , 99,0 , 0,24 , 69,16 , 18,0 , 0,20 , 62,20 , 25,0 , 0,Rashad Evans,0,37%,25%,0,0,0,17 , 45,28 , 58,2 , 8,8 , 32,5 , 9,4 , 4,15 , 43,2 , 2,0 , 0,3,00:05:00,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/c8f619a71b714ec7
37,Alejandro Perez,0,31%,16%,0,1,0,44 , 141,97 , 195,1 , 6,22 , 107,6 , 9,16 , 25,38 , 128,3 , 7,3 , 6,Andre Soukhamthath,3,40%,0%,0,0,0,43 , 107,44 , 108,0 , 0,26 , 86,9 , 11,8 , 10,42 , 102,1 , 5,0 , 0,3,00:05:00,3 Rnd (5-5-5),Kevin MacDonald,http://ufcstats.com/fight-details/48f7e64b548806cd
38,Bradley Scott,0,0%,0%,1,0,0,0 , 4,0 , 4,0 , 0,0 , 3,0 , 1,0 , 0,0 , 4,0 , 0,0 , 0,Jack Hermansson,0,70%,100%,0,2,0,38 , 54,49 , 65,1 , 1,35 , 49,0 , 1,3 , 4,4 , 6,0 , 0,34 , 48,1,00:03:50,3 Rnd (5-5-5),Bladimir Puga,http://ufcstats.com/fight-details/a3e4322f55454897
39,Dustin Ortiz,1,80%,0%,0,0,0,8 , 10,8 , 10,0 , 0,7 , 9,1 , 1,0 , 0,4 , 6,0 , 0,4 , 4,Hector Sandoval,0,16%,0%,0,0,0,1 , 6,1 , 6,0 , 0,1 , 6,0 , 0,0 , 0,1 , 6,0 , 0,0 , 0,1,00:00:15,3 Rnd (5-5-5),Jerin Valel,http://ufcstats.com/fight-details/02732ebb104793d2
40,Henry Briones,0,0%,0%,0,0,0,0 , 0,9 , 10,0 , 0,0 , 0,0 , 0,0 , 0,0 , 0,0 , 0,0 , 0,Rani Yahya,0,75%,50%,2,2,0,3 , 4,14 , 15,1 , 2,1 , 2,0 , 0,2 , 2,2 , 3,0 , 0,1 , 1,1,00:02:01,3 Rnd (5-5-5),Kevin MacDonald,http://ufcstats.com/fight-details/19348172178f42ed
41,Jose Quinonez,0,52%,25%,0,2,0,59 , 112,70 , 125,1 , 4,34 , 81,11 , 17,14 , 14,48 , 92,1 , 4,10 , 16,Diego Rivas,0,35%,100%,2,1,1,27 , 76,29 , 78,1 , 1,11 , 51,6 , 12,10 , 13,25 , 74,1 , 1,1 , 1,3,00:05:00,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/0b89c88d506da083
42,Joseph Morales,1,54%,0%,1,1,0,12 , 22,15 , 26,0 , 0,12 , 22,0 , 0,0 , 0,1 , 4,1 , 2,10 , 16,Roberto Sanchez,0,33%,100%,0,0,0,2 , 6,12 , 19,1 , 1,2 , 5,0 , 1,0 , 0,1 , 3,0 , 0,1 , 3,1,00:03:56,3 Rnd (5-5-5),Bladimir Puga,http://ufcstats.com/fight-details/a3723f0f672b0912
43,Alvaro Herrera,0,28%,0%,1,0,0,2 , 7,2 , 7,0 , 0,2 , 7,0 , 0,0 , 0,2 , 7,0 , 0,0 , 0,Jordan Rinaldi,0,50%,0%,1,1,0,6 , 12,7 , 13,0 , 0,3 , 5,0 , 3,3 , 4,6 , 12,0 , 0,0 , 0,1,00:02:01,3 Rnd (5-5-5),Gary Copeland,http://ufcstats.com/fight-details/e02fca0d258283ce
44,Daniel Cormier,0,41%,0%,0,0,0,58 , 140,60 , 142,0 , 3,29 , 99,12 , 16,17 , 25,46 , 123,12 , 17,0 , 0,Jon Jones,1,57%,0%,0,0,0,95 , 165,95 , 165,0 , 3,33 , 74,32 , 43,30 , 48,76 , 142,4 , 6,15 , 17,3,00:03:01,5 Rnd (5-5-5-5-5),John McCarthy,http://ufcstats.com/fight-details/5ab286735ccee803
